year,locationabbr,locationdesc,class,topic,question,response,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,data_value_footnote_symbol,data_value_footnote,data_source,class_id,topic_id,location_id,breakout_id,break_out_category_id,question_id,response_id,geo_location,Age Group,Gender,Race/Ethnicity
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,627,80.4,76.6,84.2,14,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE04,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",45-54,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,158,19.2,15.5,22.8,15,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE05,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",55-64,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,651,80.8,77.2,84.5,16,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE05,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",55-64,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,96,19.2,13.5,24.9,17,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE09,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",65+,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,529,80.8,75.1,86.5,18,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE09,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",65+,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,430,16.5,14.6,18.5,19,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE1,CAT4,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,NA,"White, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2108,83.5,81.5,85.5,20,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE1,CAT4,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,NA,"White, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,7,NA,NA,NA,21,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,02,RACE2,CAT4,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,NA,"Black, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,39,NA,NA,NA,22,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,02,RACE2,CAT4,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,NA,"Black, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,16,NA,NA,NA,23,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,02,RACE3,CAT4,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,NA,Hispanic
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,71,82.6,72.4,92.9,24,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE3,CAT4,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,NA,Hispanic
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,107,16,11.7,20.3,25,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE4,CAT4,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,NA,"Other, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,537,84,79.7,88.3,26,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE4,CAT4,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,NA,"Other, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,39,23.7,14.6,32.8,27,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE5,CAT4,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,NA,"Multiracial, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,99,76.3,67.2,85.4,28,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,RACE5,CAT4,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,NA,"Multiracial, non-Hispanic"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,167,9.9,7.8,11.9,3,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,SEX1,CAT2,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,Male,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1457,90.2,88.1,92.2,4,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,SEX1,CAT2,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,Male,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,441,23.7,21,26.5,5,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,SEX2,CAT2,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",NA,Female,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1445,76.3,73.5,79,6,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,SEX2,CAT2,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",NA,Female,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,33,11.8,7,16.6,7,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE01,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",18-24,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,218,88.2,83.4,93,8,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE01,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",18-24,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,77,14,8.4,19.6,9,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE02,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",25-34,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,434,86,80.4,91.6,10,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE02,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",25-34,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,147,19.9,15.6,24.2,11,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE03,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",35-44,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,552,80.1,75.9,84.4,12,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE03,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",35-44,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,239,20.8,16.9,24.7,13,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE04,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",45-54,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,775,79.2,75.3,83.1,14,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE04,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",45-54,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,337,22.5,19.1,26,15,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE05,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",55-64,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1071,77.5,74,80.9,16,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE05,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",55-64,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,398,15.4,13,17.7,17,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE09,CAT3,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",65+,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2167,84.7,82.3,87,18,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,AGE09,CAT3,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",65+,NA,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,897,19.4,17.2,21.6,19,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE1,CAT4,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,NA,"White, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3750,80.6,78.4,82.8,20,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE1,CAT4,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,NA,"White, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,18,NA,NA,NA,21,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,04,RACE2,CAT4,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,NA,"Black, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,92,84.6,75.6,93.7,22,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE2,CAT4,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,NA,"Black, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,209,13.6,10.3,16.9,23,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE3,CAT4,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,NA,Hispanic
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,890,86.4,83.1,89.7,24,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE3,CAT4,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,NA,Hispanic
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,58,14.9,9,20.8,25,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE4,CAT4,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,NA,"Other, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,351,85.1,79.2,91,26,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE4,CAT4,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,NA,"Other, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,25,17.1,7.2,27.1,27,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE5,CAT4,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,NA,"Multiracial, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,61,82.9,72.9,92.8,28,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,RACE5,CAT4,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,NA,"Multiracial, non-Hispanic"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,332,11.7,9.7,13.7,3,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,SEX1,CAT2,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,Male,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2176,88.3,86.3,90.3,4,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,SEX1,CAT2,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,Male,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,899,23.1,20.4,25.8,5,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,SEX2,CAT2,ADDEPEV2,RESP046,"(34.865970280000454, -111.76381127699972)",NA,Female,NA
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3041,76.9,74.2,79.6,6,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,04,SEX2,CAT2,ADDEPEV2,RESP054,"(34.865970280000454, -111.76381127699972)",NA,Female,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,32,20.5,13.4,27.5,7,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE01,CAT3,ADDEPEV2,RESP046,"(34.74865012400045, -92.27449074299966)",18-24,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,112,79.6,72.5,86.6,8,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE01,CAT3,ADDEPEV2,RESP054,"(34.74865012400045, -92.27449074299966)",18-24,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,67,23.9,17.8,29.9,9,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE02,CAT3,ADDEPEV2,RESP046,"(34.74865012400045, -92.27449074299966)",25-34,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,244,76.1,70.1,82.2,10,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE02,CAT3,ADDEPEV2,RESP054,"(34.74865012400045, -92.27449074299966)",25-34,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,112,25.1,19.8,30.3,11,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE03,CAT3,ADDEPEV2,RESP046,"(34.74865012400045, -92.27449074299966)",35-44,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,348,74.9,69.7,80.2,12,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE03,CAT3,ADDEPEV2,RESP054,"(34.74865012400045, -92.27449074299966)",35-44,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,211,29.3,25.1,33.4,13,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE04,CAT3,ADDEPEV2,RESP046,"(34.74865012400045, -92.27449074299966)",45-54,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,562,70.7,66.6,74.9,14,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE04,CAT3,ADDEPEV2,RESP054,"(34.74865012400045, -92.27449074299966)",45-54,NA,NA
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,289,25.7,22.4,29,15,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,05,AGE05,CAT3,ADDEPEV2,RESP046,"(34.74865012400045, -92.27449074299966)",55-64,NA,NA
